Location	Total	Coal	Gas	Hydro	Nuclear	Wind	Solar	Oil	Biomass	Geothermal	Year
 China	10,073	5,860	303	1,354	445	992	834	76	208	0	2024
 United States	4,387	653	1,865	236	782	453	303	30	47	18	2024
 India	2,058	1,534	57	156	54	82	134	4	36	0	2024
 Russia	1,221	225	538	210	216	6	3	13	0.9	0	2024
 Japan	1,022	326	347	78	85	11	102	28	46	0	2024
 Brazil	745	16	48	415	16	108	75	12	57	0	2024
 Canada	633	25	93	364	89	39	8	5	10	0	2023
 South Korea	618	205	169	4	180	3	29	8	19	0	2023
 France	518	2	30	57	338	49	22	11	10	0.6	2023
 Germany	497	125	78	20	7	137	61	22	46	0.2	2023
 Saudi Arabia	423	0	265	0	0	1	4	152	0	0	2023
 Iran	383	0.9	324	23	7	1	0.8	27	0.03	0	2023
 Mexico	355	28	205	20	12	22	27	33	7	0	2023
 Indonesia	351	217	62	25	0	0.5	0.7	7	22	17	2023
 Turkey	320	118	66	64	0	34	18	0.9	8	10	2023
 United Kingdom	286	3	98	5	41	82	14	8	34	0	2023
 Taiwan	282	122	114	4	18	6	13	4	2	0	2023
 Spain	279	4	64	25	57	64	49	10	6	0.01	2023
 Vietnam	276	130	26	81	0	11	26	2	0.8	0	2023
 Australia	273	126	47	15	0	32	45	6	3	0	2023
 Italy	261	13	119	41	0	24	31	13	16	6	2023
 South Africa	234	191	0	2	9	12	16	5	0.4	0	2023
 Egypt	220	0	179	14	0	6	5	17	0	0	2023
 Thailand	190	30	129	7	0	4	5	0.9	14	0	2023
 Malaysia	188	81	69	32	0	0	3	1	1	0	2023
 Pakistan	171	27	47	34	24	6	1	29	2	0	2023
 Sweden	166	0	0.2	66	48	34	3	2	12	0	2023
 United Arab Emirates	165	0	119	0	32	0.05	14	0	0.03	0	2023
 Poland	164	99	16	2	0	23	11	4	8	0	2023
 Norway	153	0.04	1	136	0	15	0	0.8	0.2	0.02	2023
 Iraq	150	0	87	1	0	0	0.4	61	0	0	2023
 Argentina	146	2	76	30	9	14	3	10	2	0	2023
 Netherlands	120	9	46	0.07	4	29	20	4	8	0	2023
 Kazakhstan	113	64	32	9	0	4	2	2	0	0	2023
 Ukraine	113	24	7	11	62	2	5	0.5	0.8	0	2022
 Philippines	112	66	18	10	0	1	2	3	1	10	2023
 Bangladesh	106	11	72	0.7	0	0	1	22	0	0	2023
 Algeria	96	0	95	0.02	0	0.02	0.9	0.4	0	0	2023
 Colombia	90	11	16	56	0	0.06	1	3	2	0	2023
 Chile	88	14	15	26	0	10	17	1	4	0.4	2023
 Kuwait	86	0	44	0	0	2	0.2	40	0	0	2023
 Venezuela	83	0	12	65	0	0.02	0.01	6	0	0	2023
 Belgium	82	0	18	0.4	33	15	8	3	4	0	2023
 Finland	81	2	0.7	15	34	14	0.7	3	11	0	2023
